Block,Point,Points_0,Points_1,Points_2,Points_Magnitude,ids,,r0,r1,t0,t1,vol
block_2,623,24.775,0.39375,0,24.7781,12887,,,,,,
block_2,620,24.775,0.3375,0,24.7773,3329,,,,,,
block_2,619,24.775,0.28125,0,24.7766,12884,,,,,,
block_2,606,24.775,0.225,0,24.776,3327,,,,,,
block_2,605,24.775,0.16875,0,24.7756,12874,,,,,,
block_2,602,24.775,0.1125,0,24.7753,3325,,,,,,
block_2,600,24.775,0.05625,0,24.7751,12871,,,,,,
block_2,601,24.775,0,0,24.775,3326,,,,,,
block_2,950,24.7125,1.8,0,24.778,13130,,,,,,
block_2,949,24.7125,1.74375,0,24.7739,13129,,,,,,
block_2,946,24.7125,1.6875,0,24.77,13127,,,,,,
block_2,945,24.7125,1.63125,0,24.7663,13126,,,,,,
block_2,934,24.7125,1.575,0,24.7626,13118,,,,,,
block_2,933,24.7125,1.51875,0,24.7591,13117,,,,,,
block_2,930,24.7125,1.4625,0,24.7557,13115,,,,,,
block_2,929,24.7125,1.40625,0,24.7525,13114,,,,,,
block_2,886,24.7125,1.35,0,24.7493,13082,,,,,,
block_2,885,24.7125,1.29375,0,24.7463,13081,,,,,,
block_2,882,24.7125,1.2375,0,24.7435,13079,,,,,,
block_2,881,24.7125,1.18125,0,24.7407,13078,,,,,,
block_2,870,24.7125,1.125,0,24.7381,13070,,,,,,
block_2,869,24.7125,1.06875,0,24.7356,13069,,,,,,
block_2,866,24.7125,1.0125,0,24.7332,13067,,,,,,
block_2,865,24.7125,0.95625,0,24.731,13066,,,,,,
block_2,686,24.7125,0.9,0,24.7289,12934,,,,,,
block_2,685,24.7125,0.84375,0,24.7269,12933,,,,,,
block_2,682,24.7125,0.7875,0,24.725,12931,,,,,,
block_2,681,24.7125,0.73125,0,24.7233,12930,,,,,,
block_2,670,24.7125,0.675,0,24.7217,12922,,,,,,
block_2,669,24.7125,0.61875,0,24.7202,12921,,,,,,
block_2,666,24.7125,0.5625,0,24.7189,12919,,,,,,
block_2,665,24.7125,0.50625,0,24.7177,12918,,,,,,
block_2,622,24.7125,0.45,0,24.7166,12886,,,,,,
block_2,621,24.7125,0.39375,0,24.7156,12885,,,,,,
block_2,618,24.7125,0.3375,0,24.7148,12883,,,,,,
block_2,617,24.7125,0.28125,0,24.7141,12882,,,,,,
block_2,604,24.7125,0.225,0,24.7135,12873,,,,,,
block_2,603,24.7125,0.16875,0,24.7131,12872,,,,,,
block_2,599,24.7125,0.1125,0,24.7128,12870,,,,,,
block_2,597,24.7125,0.05625,0,24.7126,12868,,,,,,
block_2,598,24.7125,0,0,24.7125,12869,,,,,,
block_2,928,24.65,1.8,0,24.7156,902,,,,,,
block_2,927,24.65,1.74375,0,24.7116,13113,,,,,,
block_2,924,24.65,1.6875,0,24.7077,3387,,,,,,
block_2,923,24.65,1.63125,0,24.7039,13110,,,,,,
block_2,912,24.65,1.575,0,24.7003,901,,,,,,
block_2,911,24.65,1.51875,0,24.6967,13101,,,,,,
block_2,908,24.65,1.4625,0,24.6933,3384,,,,,,
block_2,907,24.65,1.40625,0,24.6901,13098,,,,,,
block_2,864,24.65,1.35,0,24.6869,899,,,,,,
block_2,863,24.65,1.29375,0,24.6839,13065,,,,,,
block_2,860,24.65,1.2375,0,24.681,3375,,,,,,
block_2,859,24.65,1.18125,0,24.6783,13062,,,,,,
block_2,848,24.65,1.125,0,24.6757,898,,,,,,
block_2,847,24.65,1.06875,0,24.6732,13053,,,,,,
block_2,844,24.65,1.0125,0,24.6708,3372,,,,,,
block_2,843,24.65,0.95625,0,24.6685,13050,,,,,,
block_2,664,24.65,0.9,0,24.6664,889,,,,,,
block_2,663,24.65,0.84375,0,24.6644,12917,,,,,,
block_2,660,24.65,0.7875,0,24.6626,3337,,,,,,
block_2,659,24.65,0.73125,0,24.6608,12914,,,,,,
block_2,648,24.65,0.675,0,24.6592,888,,,,,,
block_2,647,24.65,0.61875,0,24.6578,12905,,,,,,
block_2,644,24.65,0.5625,0,24.6564,3334,,,,,,
block_2,643,24.65,0.50625,0,24.6552,12902,,,,,,
block_2,596,24.65,0.45,0,24.6541,886,,,,,,
block_2,595,24.65,0.39375,0,24.6531,12867,,,,,,
block_2,592,24.65,0.3375,0,24.6523,3324,,,,,,
block_2,591,24.65,0.28125,0,24.6516,12864,,,,,,
block_2,580,24.65,0.225,0,24.651,884,,,,,,
block_2,579,24.65,0.16875,0,24.6506,12855,,,,,,
block_2,576,24.65,0.1125,0,24.6503,3321,,,,,,
block_2,574,24.65,0.05625,0,24.6501,12852,,,,,,
block_2,575,24.65,0,0,24.65,885,,,,,,
block_2,926,24.5875,1.8,0,24.6533,13112,,,,,,
block_2,925,24.5875,1.74375,0,24.6493,13111,,,,,,
block_2,922,24.5875,1.6875,0,24.6453,13109,,,,,,
block_2,921,24.5875,1.63125,0,24.6416,13108,,,,,,
block_2,910,24.5875,1.575,0,24.6379,13100,,,,,,
block_2,909,24.5875,1.51875,0,24.6344,13099,,,,,,
block_2,906,24.5875,1.4625,0,24.631,13097,,,,,,
block_2,905,24.5875,1.40625,0,24.6277,13096,,,,,,
